chr1	585987	814620	TAD1
chr1	814620	1918561	TAD2
chr1	1918561	5939940	TAD3
chr1	5939940	6689940	TAD4
chr1	6689940	7739940	TAD5
chr1	7739940	7989940	TAD6
chr1	7989940	8339940	TAD7
chr1	8339940	8889941	TAD8
chr1	8889941	9589942	TAD9
chr1	9589942	10489943	TAD10
chr1	10489943	10989943	TAD11
chr1	10989943	11889943	TAD12
chr1	11889943	12239943	TAD13
chr1	12239943	12689986	TAD14
chr1	12689986	15123504	TAD15
chr1	15123504	15473505	TAD16
chr1	15473505	16523505	TAD17
chr1	16523505	16873505	TAD18
chr1	16873505	17373505	TAD19
chr1	17373505	18873506	TAD20
chr1	18873506	19273506	TAD21
chr1	19273506	19873507	TAD22
chr1	19873507	20523507	TAD23
chr1	20523507	21623507	TAD24
chr1	21623507	22073507	TAD25
chr1	22073507	22973507	TAD26
chr1	22973507	23473507	TAD27
chr1	23473507	24023510	TAD28
chr1	24023510	24623509	TAD29
chr1	24623509	25223509	TAD30
chr1	25223509	25823509	TAD31
chr1	25823509	26473509	TAD32
chr1	26473509	26923509	TAD33
chr1	26923509	27773489	TAD34
chr1	27773489	28273489	TAD35
chr1	28273489	29223488	TAD36
chr1	29223488	30727153	TAD37
chr1	30727153	33484400	TAD38
chr1	33484400	34784399	TAD39
chr1	34784399	36484399	TAD40
chr1	36484399	37434399	TAD41
chr1	37434399	38034328	TAD42
chr1	38034328	38834328	TAD43
chr1	38834328	39084328	TAD44
chr1	39084328	39784328	TAD45
chr1	39784328	40084328	TAD46
chr1	40084328	40434328	TAD47
chr1	40434328	40984328	TAD48
chr1	40984328	41234328	TAD49
chr1	41234328	41484329	TAD50
chr1	41484329	42184329	TAD51
chr1	42184329	43134329	TAD52
chr1	43134329	44084328	TAD53
chr1	44084328	44684328	TAD54
chr1	44684328	46234328	TAD55
chr1	46234328	46734328	TAD56
chr1	46734328	47984328	TAD57
chr1	47984328	50334328	TAD58
chr1	50334328	50734328	TAD59
chr1	50734328	51234328	TAD60
chr1	51234328	51834328	TAD61
chr1	51834328	53184328	TAD62
chr1	53184328	53434327	TAD63
chr1	53434327	53784327	TAD64
chr1	53784327	55034327	TAD65
chr1	55034327	55284327	TAD66
chr1	55284327	56784327	TAD67
chr1	56784327	58434328	TAD68
chr1	58434328	58684328	TAD69
chr1	58684328	59834328	TAD70
chr1	59834328	62134328	TAD71
chr1	62134328	62434329	TAD72
chr1	62434329	62784329	TAD73
chr1	62784329	63584329	TAD74
chr1	63584329	64284317	TAD75
chr1	64284317	64534317	TAD76
chr1	64534317	64934317	TAD77
chr1	64934317	65334317	TAD78
